program,year,period,week_ending,geo_level,state,state_ansi,ag_district,ag_district_code,county,county_ansi,zip_code,region,watershed_code,watershed,commodity,data_item,domain,domain_category,value,cv_percent
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,013,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,9236,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,CARTERET,031,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,CRAVEN,049,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2861,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,GREENE,079,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5706,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,HYDE,095,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,8094,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,JOHNSTON,101,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4547,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,JONES,103,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13079,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,LENOIR,107,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7697,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,PITT,147,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13527,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,WAYNE,191,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4434,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,WILSON,195,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,8525,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL PIEDMONT,50,DAVIE,059,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL PIEDMONT,50,RANDOLPH,151,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL PIEDMONT,50,ROWAN,159,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,612,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,CENTRAL PIEDMONT,50,WAKE,183,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,BERTIE,015,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,21298,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,CAMDEN,029,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,CHOWAN,041,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,9461,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,EDGECOMBE,065,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,14236,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,GATES,073,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10226,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,HALIFAX,083,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,48492,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,HERTFORD,091,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13768,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,MARTIN,117,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,32351,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,NASH,127,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6816,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,NORTHAMPTON,131,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,43390,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,PASQUOTANK,139,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,PERQUIMANS,143,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5937,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,TYRRELL,177,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,WASHINGTON,187,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7788,17.1
CENSUS,2017,YEAR,NA,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,FRANKLIN,069,NA,NA,00000000,NA,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,(D),(D)
