State,County,FIPS,Area,1987_N_FarmFertilizer,1987_N_NonfarmFertilizer,1988_N_FarmFertilizer,1988_N_NonfarmFertilizer,1989_N_FarmFertilizer,1989_N_NonfarmFertilizer,1990_N_FarmFertilizer,1990_N_NonfarmFertilizer,1991_N_FarmFertilizer,1991_N_NonfarmFertilizer,1992_N_FarmFertilizer,1992_N_NonfarmFertilizer,1993_N_FarmFertilizer,1993_N_NonfarmFertilizer,1994_N_FarmFertilizer,1994_N_NonfarmFertilizer,1995_N_FarmFertilizer,1995_N_NonfarmFertilizer,1996_N_FarmFertilizer,1996_N_NonfarmFertilizer,1997_N_FarmFertilizer,1997_N_NonfarmFertilizer,1998_N_FarmFertilizer,1998_N_NonfarmFertilizer,1999_N_FarmFertilizer,1999_N_NonfarmFertilizer,2000_N_FarmFertilizer,2000_N_NonfarmFertilizer,2001_N_FarmFertilizer,2001_N_NonfarmFertilizer,1987_P_FarmFertilizer,1987_P_NonfarmFertilizer,1988_P_FarmFertilizer,1988_P_NonfarmFertilizer,1989_P_FarmFertilizer,1989_P_NonfarmFertilizer,1990_P_FarmFertilizer,1990_P_NonfarmFertilizer,1991_P_FarmFertilizer,1991_P_NonfarmFertilizer,1992_P_FarmFertilizer,1992_P_NonfarmFertilizer,1993_P_FarmFertilizer,1993_P_NonfarmFertilizer,1994_P_FarmFertilizer,1994_P_NonfarmFertilizer,1995_P_FarmFertilizer,1995_P_NonfarmFertilizer,1996_P_FarmFertilizer,1996_P_NonfarmFertilizer,1997_P_FarmFertilizer,1997_P_NonfarmFertilizer,1998_P_FarmFertilizer,1998_P_NonfarmFertilizer,1999_P_FarmFertilizer,1999_P_NonfarmFertilizer,2000_P_FarmFertilizer,2000_P_NonfarmFertilizer,2001_P_FarmFertilizer,2001_P_NonfarmFertilizer,1982_N_ManureUnconfined,1982_N_ManureConfined,1987_N_ManureUnconfined,1987_N_ManureConfined,1992_N_ManureUnconfined,1992_N_ManureConfined,1997_N_ManureUnconfined,1997_N_ManureConfined,1982_P_ManureUnconfined,1982_P_ManureConfined,1987_P_ManureUnconfined,1987_P_ManureConfined,1992_P_ManureUnconfined,1992_P_ManureConfined,1997_P_ManureUnconfined,1997_P_ManureConfined,1985_N_AtmosphericDeposition,1986_N_AtmosphericDeposition,1987_N_AtmosphericDeposition,1988_N_AtmosphericDeposition,1989_N_AtmosphericDeposition,1990_N_AtmosphericDeposition,1991_N_AtmosphericDeposition,1992_N_AtmosphericDeposition,1993_N_AtmosphericDeposition,1994_N_AtmosphericDeposition,1995_N_AtmosphericDeposition,1996_N_AtmosphericDeposition,1997_N_AtmosphericDeposition,1998_N_AtmosphericDeposition,1999_N_AtmosphericDeposition,2000_N_AtmosphericDeposition,2001_N_AtmosphericDeposition
AL,AUTAUGA,1001,"1,566","1,654,694","9,384","1,612,441","10,183","1,548,442","17,990","1,746,761","14,790","1,648,555","15,689","1,659,215","18,911","1,777,473","24,355","1,963,663","21,079","1,330,035","30,235","1,575,077","29,717","1,345,015","27,086","1,541,056","29,813","1,327,577","28,262","1,131,996","36,205","1,066,295","39,901","324,692","1,610","335,747","2,096","332,921","3,728","302,079","3,288","275,241","3,432","276,554","3,792","302,740","4,795","224,876","5,412","266,294","8,782","273,862","6,457","234,161","5,690","352,647","5,672","273,462","6,063","233,824","7,264","220,732","7,698","925,682","165,174","936,015","97,809","862,212","77,993","723,224","22,234","313,133","50,950","256,437","21,225","286,142","20,291","232,955","5,483","377,345","447,801","450,609","412,334","538,239","506,121","542,341","448,984","539,412","399,705","605,575","655,559","572,978","393,811","416,810","385,853","475,396"
AL,BALDWIN,1003,"4,225",NA,"26,590","6,627,036","29,016","6,334,552","51,635","7,112,263","43,274","6,680,342","47,021","6,690,918","57,607","7,031,181","75,914","7,614,958","66,766","5,053,094","97,340","5,858,575","96,808","4,894,385","89,609","6,135,012","100,119","5,823,399","95,248","5,518,022","122,688","5,836,386","136,550","1,340,576","4,562","1,379,901","5,973","1,361,954","10,700","1,229,971","9,619","1,115,345","10,288","1,115,227","11,552","1,197,555","14,947","872,056","17,142","1,011,710","28,272","1,018,642","21,033","852,091","18,825","1,403,905","19,047","1,199,538","20,434","1,139,795","24,615","1,208,182","26,345","1,590,161","313,481","1,193,162","188,640","1,212,744","286,054","1,294,163","266,288","494,137","91,372","371,890","52,994","370,446","87,247","390,214","83,417","1,252,383","1,452,706","1,533,141","1,357,145","1,947,528","1,496,803","1,945,789","1,454,587","1,723,638","1,472,548","1,973,343","1,756,800","1,819,702","1,435,149","1,361,525","1,312,291","1,010,845"
AL,BARBOUR,1005,"2,343","2,526,056","5,766","2,571,881","6,209","2,576,913","10,877","3,029,111","8,903","2,975,373","9,682","3,113,235","11,502","3,112,157","14,608","3,188,883","12,334","1,989,037","17,232","2,150,693","16,680","1,659,539","14,790","2,705,971","16,153","3,152,459","14,934","3,531,166","18,873","4,300,725","20,116","495,675",989,"535,525","1,278","554,046","2,254","523,844","1,979","496,766","2,118","518,907","2,307","530,064","2,876","365,187","3,167","398,237","5,005","373,945","3,624","288,919","3,107","619,221","3,073","649,362","3,204","729,393","3,787","890,287","3,881","1,411,259","316,133","1,053,829","213,670","909,144","318,125","851,179","271,172","463,973","94,034","354,746","64,581","300,884","93,815","278,355","78,333","612,032","630,746","600,232","589,550","800,650","689,766","865,199","720,728","845,375","798,212","823,085","795,876","870,795","817,443","733,405","703,677","656,729"
AL,BIBB,1007,"1,620","318,946","3,635","338,301","3,879","351,570","6,881","427,045","5,705","432,088","6,104","464,448","7,280","458,440","9,298","462,737","7,878","283,450","11,313","299,749","11,013","224,916","10,051","266,105","11,103","237,824","10,732","211,597","13,685","209,499","14,834","62,585",624,"70,442",799,"75,589","1,426","73,852","1,268","72,141","1,336","77,413","1,460","78,082","1,831","52,992","2,023","56,751","3,286","52,118","2,393","39,157","2,111","60,894","2,112","48,988","2,302","43,707","2,746","43,368","2,862","336,563","60,055","433,063","45,253","347,787","31,460","409,150","12,578","105,737","17,205","107,134","8,867","86,266","6,117","103,022","2,425","400,373","470,506","473,810","433,407","575,803","533,479","570,707","476,676","566,238","430,709","635,528","689,493","609,185","424,471","443,624","409,611","504,396"
AL,BLOUNT,1009,"1,685","1,911,127","10,918","1,848,465","11,773","1,761,643","20,876","1,971,921","17,288","1,846,412","18,362","1,843,450","21,794","1,938,848","28,020","2,101,704","23,711","1,395,952","34,528","1,620,081","33,987","1,354,872","31,453","1,702,443","35,351","1,619,834","33,879","1,538,489","43,354","1,630,996","47,668","375,011","1,873","384,893","2,424","378,760","4,326","341,018","3,843","308,276","4,017","307,262","4,371","330,226","5,517","240,685","6,088","279,492","10,029","281,687","7,384","235,877","6,608","389,579","6,725","333,663","7,268","317,788","8,698","337,630","9,197","1,417,098","2,521,212","1,458,968","3,386,505","1,531,594","4,097,362","1,732,020","4,282,774","447,829","805,764","474,916","1,060,518","500,988","1,271,168","570,604","1,276,822","671,067","493,568","580,194","556,656","901,324","788,282","736,658","790,148","737,101","851,783","819,470","1,030,558","1,032,734","805,663","845,222","709,183","762,051"
AL,BULLOCK,1011,NA,"803,745","2,174","770,101","2,408","726,799","4,189","805,359","3,363","746,219","3,523","736,939","4,068","800,406","5,117","896,483","4,318","615,596","6,046","739,063","5,826","639,801","5,167","775,962","5,555","712,274","5,187","652,307","6,475","666,419","6,695","157,715",373,"160,353",496,"156,265",868,"139,276",748,"124,588",771,"122,831",816,"136,326","1,007","102,664","1,109","123,252","1,756","128,502","1,266","111,387","1,085","177,567","1,057","146,718","1,113","134,740","1,299","137,954","1,292","1,184,367","35,820","966,677","45,468","770,922","201,319","735,928","195,899","371,736","8,333","304,237","11,269","245,596","57,579","188,280","44,571","437,817","452,889","437,069","418,125","558,672","507,744","597,026","510,361","580,698","532,090","598,365","605,665","620,436","551,608","501,620","469,871","468,503"
AL,BUTLER,1013,"2,015","1,127,795","5,204","1,079,051","5,503","1,016,861","9,492","1,125,014","7,671","1,040,692","7,836","1,025,978","9,135","1,052,134","11,379","1,109,836","9,458","715,724","13,130","804,446","12,479","649,657","10,991","775,140","11,688","699,197","10,721","628,459","13,279","629,281","13,981","221,302",893,"224,683","1,133","218,629","1,967","194,556","1,705","173,753","1,714","171,008","1,832","179,200","2,240","127,097","2,428","143,299","3,813","139,871","2,711","113,103","2,309","177,379","2,224","144,025","2,300","129,814","2,664","130,266","2,697","937,354","596,663","685,042","544,278","722,366","689,796","773,488","711,983","304,325","181,834","225,805","162,792","237,151","202,856","256,038","207,723","490,152","582,785","580,601","539,255","725,491","641,373","706,154","583,528","702,463","540,920","775,891","816,654","740,187","529,532","543,785","515,462","578,984"
AL,CALHOUN,1015,"1,585",NA,"48,531","781,667","51,443","739,478","88,759","821,456","72,064","763,122","73,562","755,693","86,098","870,215","107,746","1,029,186","89,194","743,578","124,888","936,291","118,283","847,691","104,982","1,161,458","112,371","1,194,747","101,167","1,218,070","123,066","1,377,768","129,888","159,718","8,327","162,761","10,590","158,991","18,393","142,060","16,018","127,410","16,094","125,957","17,266","148,215","21,214","117,861","22,900","148,876","36,274","162,795","25,699","147,579","22,054","265,782","21,378","246,101","21,704","251,603","24,691","285,210","25,060","698,785","694,791","547,115","830,016","694,740","992,812","667,993","944,070","223,480","213,898","175,838","248,790","223,201","293,472","216,135","278,902","638,193","454,664","544,349","525,848","699,039","739,208","683,929","747,563","688,531","801,361","764,271","959,659","965,730","762,712","799,403","669,442","707,761"
AL,CHAMBERS,1017,"1,562","459,283","11,068","481,230","11,691","494,822","20,244","595,482","16,309","597,580","16,818","637,651","19,652","684,289","24,434","757,300","20,292","513,850","28,326","609,615","26,604","521,518","23,291","656,150","25,048","625,098","22,902","594,438","28,778","630,938","30,554","90,123","1,899","100,203","2,407","106,389","4,195","102,981","3,625","99,772","3,679","106,282","3,941","116,549","4,811","86,725","5,210","102,881","8,227","105,995","5,780","90,794","4,893","150,150","4,765","128,761","4,913","122,786","5,774","130,610","5,895","1,001,791","105,759","773,671","51,233","732,096","34,651","873,278","19,009","318,451","31,613","241,820","12,838","231,176","7,854","211,039","3,645","519,522","477,673","431,749","411,845","513,407","528,906","620,670","574,991","569,206","617,678","605,409","583,330","652,731","696,712","593,590","524,846","479,201"
AL,CHEROKEE,1019,"1,554","2,489,058","4,612","2,469,258","5,030","2,413,735","8,735","2,771,328","7,155","2,661,751","7,533","2,726,011","8,936","2,843,989","11,500","3,056,578","9,839","2,011,810","14,233","2,312,365","13,912","1,914,025","12,644","2,272,529","13,885","2,038,908","13,004","1,821,873","16,652","1,812,457","17,952","488,415",791,"514,156","1,035","518,963","1,810","479,264","1,591","444,404","1,648","454,365","1,792","484,390","2,264","350,036","2,526","402,796","4,134","402,055","3,023","333,224","2,656","520,034","2,641","419,986","2,790","376,324","3,341","375,194","3,464","583,537","431,790","529,041","384,096","595,867","659,098","607,252","665,796","183,697","143,280","168,551","127,950","191,470","199,126","195,267","194,124","640,320","439,281","543,979","527,359","796,412","744,622","674,385","751,253","686,776","807,548","761,745","974,839","979,091","759,571","806,000","672,275","716,764"
AL,CHILTON,1021,"1,815","1,306,405","8,532","1,340,496","9,245","1,352,774","16,144","1,600,714","13,208","1,581,981","14,008","1,664,731","16,486","1,778,067","20,965","1,958,376","17,831","1,322,381","25,535","1,561,130","25,040","1,328,886","22,743","1,672,403","25,017","1,593,683","23,730","1,515,911","30,490","1,609,404","33,050","256,349","1,464","279,122","1,903","290,852","3,345","276,822","2,936","264,126","3,065","277,474","3,306","302,841","4,128","224,271","4,578","264,762","7,416","271,437","5,440","231,353","4,778","382,704","4,759","328,276","5,091","313,125","6,117","333,160","6,377","956,503","170,674","970,748","101,438","834,180","75,457","946,083","29,085","307,385","50,015","322,990","26,734","266,358","18,888","298,809","7,034","454,289","525,451","528,137","484,862","637,451","600,649","641,178","539,924","635,562","490,344","712,769","773,695","686,151","482,219","504,314","463,692","563,882"
AL,CHOCTAW,1023,"2,385","456,731","3,339","425,952","3,549","390,488","6,033","419,334","4,859","375,562","5,014","357,437","5,909","394,392","7,364","448,537","6,101","312,601","8,469","380,737","8,055","334,238","7,064","377,672","7,561","319,961","6,859","267,289","8,595","245,377","9,038","89,622",573,"88,693",731,"83,956","1,250","72,518","1,080","62,704","1,097","59,577","1,185","67,173","1,450","51,366","1,566","62,588","2,460","66,199","1,750","58,189","1,484","86,425","1,438","65,908","1,471","55,211","1,724","50,795","1,744","563,745","93,161","489,001","133,517","403,921","168,566","337,045","190,093","181,695","26,361","160,723","38,487","130,322","47,896","90,215","45,247","686,327","888,053","892,201","723,319","1,189,332","821,422","1,010,581","823,414","967,949","827,222","1,042,324","987,288","1,049,805","816,061","685,137","733,228","937,215"
AL,CLARKE,1025,"3,244","450,352","5,895","425,777","6,231","396,183","10,800","432,447","8,835","394,320","9,164","382,811","10,726","406,325","13,351","444,672","11,132","298,297","15,339","349,791","14,578","295,706","13,119","354,854","13,938","322,079","12,970","291,446","16,226","293,968","17,252","88,370","1,012","88,656","1,283","85,181","2,238","74,786","1,964","65,835","2,005","63,806","2,151","69,205","2,629","50,923","2,858","59,724","4,455","60,819","3,167","51,481","2,756","81,203","2,652","66,344","2,782","60,201","3,255","60,854","3,329","661,115","23,860","457,361","12,535","349,031","9,550","357,755","2,459","209,633","6,839","146,839","3,446","112,969","2,834","113,894",694,"875,914","1,081,339","1,102,221","962,415","1,409,203","1,096,256","1,291,673","1,025,127","1,225,726","980,946","1,363,288","1,355,144","1,308,693","970,233","911,850","906,773","965,165"
AL,CLAY,1027,"1,570","567,725","2,856","526,584","3,036","479,818","5,241","511,772","4,305","454,850","4,461","429,145","5,245","468,697","6,584","527,816","5,479","364,373","7,645","439,738","7,349","382,626","6,622","533,773","7,197","557,199","6,680","575,063","8,439","657,212","9,017","111,402",490,"109,647",625,"103,163","1,086","88,504",957,"75,941",976,"71,529","1,052","79,829","1,296","60,445","1,407","72,953","2,220","76,458","1,597","66,614","1,391","122,146","1,369","114,775","1,433","118,784","1,693","136,048","1,740","806,899","708,301","800,082","672,314","714,495","876,036","858,281","758,685","258,938","231,668","262,502","212,628","238,556","293,659","281,097","228,705","555,631","472,250","491,112","464,707","583,588","628,930","645,970","640,516","623,160","676,875","683,961","767,586","783,242","679,251","662,561","568,634","584,156"
AL,CLEBURNE,1029,"1,453","394,218","2,753","355,558","2,949","313,688","5,143","322,205","4,182","273,882","4,286","244,911","5,071","277,035","6,422","322,453","5,327","229,646","7,444","285,428","7,181","255,383","6,654","340,212","7,232","341,683","6,752","341,236","8,534","379,094","9,266","77,355",472,"74,035",607,"67,444","1,066","55,721",930,"45,727",938,"40,821","1,017","47,185","1,264","36,927","1,368","45,979","2,162","49,628","1,560","44,461","1,398","77,852","1,376","70,382","1,449","70,485","1,712","78,476","1,788","406,350","786,700","467,302","824,915","435,307","1,210,303","517,218","1,325,728","134,699","250,517","155,701","253,351","145,175","368,536","172,908","402,662","562,752","430,017","476,457","457,831","571,544","636,224","619,358","651,761","605,699","697,238","671,391","793,773","814,165","690,942","690,404","584,040","595,044"
AL,COFFEE,1031,"1,762","2,596,224","11,655","2,654,148","12,591","2,669,399","21,734","3,148,822","17,619","3,103,029","18,343","3,256,651","21,947","3,549,314","27,683","3,988,796","23,498","2,748,107","33,179","3,310,027","31,417","2,874,622","27,769","3,434,044","30,025","3,101,699","27,858","2,791,920","34,882","2,799,977","37,246","509,444","2,000","552,654","2,592","573,931","4,504","544,547","3,916","518,079","4,013","542,811","4,401","604,521","5,451","456,792","6,033","550,215","9,637","575,521","6,826","500,459","5,834","785,829","5,712","638,906","5,976","576,695","6,998","579,619","7,186","1,248,915","2,325,363","1,046,667","2,438,496","1,041,478","2,798,768","1,211,817","3,474,371","410,757","699,762","348,625","731,771","341,700","846,237","399,604","1,036,318","416,869","473,636","459,214","447,553","639,960","512,810","632,374","509,499","628,160","551,862","641,726","599,393","632,312","532,996","536,030","522,411","484,112"
AL,COLBERT,1033,"1,615","2,608,982","16,575","2,462,364","17,553","2,286,970","30,491","2,491,305","25,031","2,266,723","26,357","2,195,371","30,861","2,392,528","38,908","2,688,629","32,336","1,852,250","45,230","2,230,874","43,368","1,937,323","38,925","2,379,785","41,728","2,213,549","38,341","2,055,211","48,390","2,129,833","51,624","511,947","2,844","512,720","3,614","491,708","6,318","430,838","5,564","378,450","5,767","365,919","6,189","407,497","7,660","307,899","8,302","370,850","13,137","387,886","9,423","337,280","8,177","544,578","7,938","455,960","8,225","424,522","9,709","440,894","9,960","794,229","387,422","752,093","345,609","691,766","631,219","702,824","653,280","260,788","114,222","250,002","101,956","230,023","189,499","227,419","191,221","583,886","593,062","546,750","458,472","1,000,197","743,005","832,064","679,241","722,976","841,011","820,384","835,241","859,489","874,595","642,105","638,049","696,286"
AL,CONECUH,1035,"2,208","1,192,860","2,945","1,179,552","3,061","1,149,387","5,228","1,315,588","4,195","1,259,745","4,431","1,286,333","5,108","1,321,907","6,368","1,397,649","5,313","903,663","7,388","1,018,616","7,092","825,289","6,200","1,070,584","6,571","1,049,894","6,021","1,026,222","7,503","1,118,073","7,899","234,069",505,"245,610",630,"247,123","1,083","227,513",932,"210,326",969,"214,403","1,024","225,148","1,254","160,057","1,364","180,928","2,146","177,109","1,541","143,679","1,303","244,987","1,250","216,263","1,292","211,975","1,505","231,451","1,524","932,853","126,430","531,501","205,835","686,391","41,962","819,771","31,369","294,978","35,724","171,271","62,133","216,499","10,566","202,756","6,428","551,638","662,694","662,596","615,045","849,212","706,616","807,969","654,563","790,757","619,295","874,208","885,095","828,141","604,103","613,498","588,729","597,356"
AL,COOSA,1037,"1,726","190,092","2,209","177,523","2,333","162,988","4,065","175,320","3,309","157,313","3,451","150,035","4,017","169,346","5,153","196,719","4,445","139,846","6,287","173,526","5,898","155,022","5,252","181,788","5,667","160,863","5,306","141,536","6,701","138,373","6,876","37,301",379,"36,964",480,"35,043",842,"30,319",736,"26,265",755,"25,008",806,"28,843","1,015","22,528","1,141","27,999","1,826","30,171","1,282","26,989","1,103","41,599","1,078","33,136","1,138","29,235","1,345","28,644","1,327","461,155","86,469","362,215","1,780","310,895",29,"335,751",349,"118,663","25,455","115,314",416,"99,433",10,"107,363",103,"503,741","513,733","519,801","478,209","627,707","615,620","653,484","589,964","637,883","579,614","706,402","764,827","728,730","574,437","572,683","513,037","574,528"
AL,COVINGTON,1039,"2,704","2,495,437","9,062","2,540,750","9,646","2,545,761","16,767","2,992,536","13,640","2,939,487","14,119","3,075,726","16,614","3,310,564","20,866","3,674,807","17,238","2,501,004","24,288","2,976,130","23,194","2,553,826","20,502","3,291,031","21,976","3,207,725","20,341","3,117,635","25,324","3,378,762","26,582","489,667","1,555","529,042","1,986","547,349","3,475","517,519","3,032","490,774","3,089","512,655","3,332","563,857","4,108","420,834","4,426","500,741","7,054","517,466","5,039","444,610","4,307","753,103","4,181","660,746","4,364","643,975","5,081","699,433","5,129","1,432,917","868,038","1,298,692","1,017,439","1,326,676","1,100,556","1,362,752","1,494,813","471,573","264,162","422,783","302,619","426,875","324,402","442,338","442,558","647,453","757,544","745,985","716,345","1,011,101","806,903","966,368","781,828","961,934","811,836","1,007,430","971,421","977,841","778,046","801,332","779,997","721,213"
AL,CRENSHAW,1041,"1,582","1,328,093","2,998","1,336,730","3,197","1,324,983","5,546","1,541,794","4,457","1,500,066","4,554","1,555,514","5,276","1,622,640","6,592","1,743,709","5,425","1,147,535","7,623","1,318,777","7,222","1,091,425","6,439","1,315,044","6,838","1,198,761","6,306","1,089,793","7,969","1,104,715","8,558","260,605",514,"278,338",658,"284,877","1,149","266,633",991,"250,450",996,"259,270","1,058","276,369","1,298","199,687","1,393","229,755","2,214","229,298","1,569","190,012","1,353","300,928","1,301","246,928","1,353","225,106","1,599","228,685","1,651","1,077,132","1,864,950","845,727","1,440,479","909,112","1,455,792","929,151","1,451,930","351,139","580,383","280,333","433,473","297,759","435,516","308,783","431,116","385,188","451,342","446,256","411,828","566,555","490,329","560,233","460,603","555,407","454,058","595,830","609,143","577,824","443,020","449,204","425,741","444,251"
AL,CULLMAN,1043,"1,955","1,927,712","21,553","1,972,425","23,161","1,985,335","40,690","2,343,617","33,532","2,311,101","35,284","2,427,044","41,947","2,666,473","53,144","3,020,069","45,014","2,096,484","63,704","2,543,766","61,787","2,224,965","55,284","2,897,018","60,303","2,850,714","56,514","2,795,175","71,373","3,054,161","76,543","378,265","3,698","410,704","4,768","426,855","8,432","405,297","7,454","385,860","7,719","404,534","8,412","454,155","10,463","345,855","11,557","419,750","18,503","442,290","13,424","387,357","11,614","662,939","11,472","587,207","12,124","577,368","14,320","632,237","14,768","2,264,443","6,218,460","2,426,713","9,081,037","2,486,305","8,609,463","2,813,316","9,651,124","728,788","1,925,075","796,041","2,820,435","817,465","2,640,604","925,899","2,948,730","755,117","608,371","663,176","625,375","1,148,339","902,812","885,762","891,089","854,596","980,240","956,583","1,168,127","1,171,113","933,667","953,641","806,928","868,943"
AL,DALE,1045,"1,457","2,080,807","16,109","2,075,222","17,713","2,039,019","30,339","2,352,816","24,502","2,270,773","25,367","2,336,581","29,503","2,402,132","36,589","2,540,856","30,912","1,643,593","42,846","1,853,649","39,824","1,502,725","34,799","1,928,445","37,089","1,872,307","34,366","1,813,080","43,111","1,958,203","46,094","408,306","2,764","432,109","3,646","438,397","6,287","406,888","5,446","379,126","5,550","389,456","5,917","409,132","7,204","290,976","7,937","329,074","12,445","322,297","8,653","261,618","7,310","441,296","7,056","385,669","7,373","374,507","8,649","405,365","8,893","940,024","371,932","645,923","475,167","704,129","820,829","737,365","741,481","312,355","110,700","217,384","142,970","231,503","240,784","242,928","216,078","339,798","372,994","357,526","366,712","526,848","412,894","525,355","421,030","522,673","472,221","519,610","468,374","520,600","458,549","445,227","440,889","405,952"
AL,DALLAS,1047,"2,573","2,300,242","14,004","2,196,457","14,562","2,065,548","24,884","2,280,220","19,851","2,104,430","20,293","2,069,606","23,656","2,196,708","29,482","2,404,000","24,320","1,612,648","33,723","1,891,015","31,665","1,598,605","27,740","1,919,320","29,439","1,742,983","27,154","1,578,121","33,716","1,592,767","35,691","451,365","2,403","457,353","2,998","444,101","5,156","394,334","4,413","351,354","4,440","344,957","4,744","374,145","5,805","275,303","6,244","322,878","9,795","328,794","6,880","278,310","5,828","439,207","5,600","359,030","5,826","325,975","6,764","329,716","6,886","1,788,988","230,675","1,374,819","209,075","1,458,913","108,409","1,366,646","24,813","558,139","67,550","432,093","64,991","458,020","32,357","437,823","5,247","601,906","730,097","733,069","668,541","871,841","821,756","879,190","717,691","876,391","626,426","986,626","1,073,100","921,235","616,199","663,326","614,833","768,544"
